Ref_Date,Geo,School,Source,Stats,Vector,Coordinate,Value
2005,Nova Scotia,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835112,4.3.3.5,16100
2010,Nova Scotia,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835112,4.3.3.5,15300
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835113,4.4.1.1,46
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835113,4.4.1.1,50
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835113,4.4.1.1,50
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835114,4.4.1.2,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835114,4.4.1.2,47
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835114,4.4.1.2,41
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835115,4.4.1.3,25700
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835115,4.4.1.3,37600
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835115,4.4.1.3,25600
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835116,4.4.1.4,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835116,4.4.1.4,26
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835116,4.4.1.4,42
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835117,4.4.1.5,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835117,4.4.1.5,39800
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835117,4.4.1.5,19800
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835118,4.4.2.1,36
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835118,4.4.2.1,32
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835118,4.4.2.1,34
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835119,4.4.2.2,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835119,4.4.2.2,50
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835119,4.4.2.2,25
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835120,4.4.2.3,23400
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835120,4.4.2.3,38000
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835120,4.4.2.3,18400
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835121,4.4.2.4,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835121,4.4.2.4,
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835121,4.4.2.4,35
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835122,4.4.2.5,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835122,4.4.2.5,41600
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835122,4.4.2.5,12800
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835123,4.4.3.1,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835123,4.4.3.1,37
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835123,4.4.3.1,43
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835124,4.4.3.2,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835124,4.4.3.2,
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835124,4.4.3.2,
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835125,4.4.3.3,13900
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835125,4.4.3.3,18500
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835125,4.4.3.3,18900
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835126,4.4.3.4,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835126,4.4.3.4,
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835126,4.4.3.4,41
2000,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835127,4.4.3.5,
2005,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835127,4.4.3.5,18400
2010,Nova Scotia,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835127,4.4.3.5,11200
2000,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835128,5.1.1.1,66
2005,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835128,5.1.1.1,68
2010,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835128,5.1.1.1,56
2000,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835129,5.1.1.2,10
2005,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835129,5.1.1.2,15
2010,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835129,5.1.1.2,22
2000,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835130,5.1.1.3,13000
2005,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835130,5.1.1.3,14100
2010,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835130,5.1.1.3,17200
2000,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835131,5.1.1.4,14
2005,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835131,5.1.1.4,12
2010,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835131,5.1.1.4,23
2000,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835132,5.1.1.5,11600
2005,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835132,5.1.1.5,12300
2010,New Brunswick,College,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835132,5.1.1.5,15000
2000,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835133,5.1.2.1,59
2005,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835133,5.1.2.1,57
2010,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835133,5.1.2.1,49
2000,New Brunswick,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835134,5.1.2.2,9
2005,New Brunswick,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835134,5.1.2.2,12
2010,New Brunswick,College,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835134,5.1.2.2,20
2000,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835135,5.1.2.3,12300
2005,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835135,5.1.2.3,13200
2010,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835135,5.1.2.3,16000
2000,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835136,5.1.2.4,13
2005,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835136,5.1.2.4,10
2010,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835136,5.1.2.4,17
2000,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835137,5.1.2.5,11000
2005,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835137,5.1.2.5,12100
2010,New Brunswick,College,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835137,5.1.2.5,13900
2000,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835138,5.1.3.1,20
2005,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835138,5.1.3.1,25
2010,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835138,5.1.3.1,19
2000,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835139,5.1.3.2,
2005,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835139,5.1.3.2,
2010,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835139,5.1.3.2,9
2000,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835140,5.1.3.3,7200
2005,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835140,5.1.3.3,8400
2010,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835140,5.1.3.3,10200
2000,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835141,5.1.3.4,27
2005,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835141,5.1.3.4,29
2010,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835141,5.1.3.4,52
2000,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835142,5.1.3.5,6600
2005,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835142,5.1.3.5,7300
2010,New Brunswick,College,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835142,5.1.3.5,7500
2000,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835143,5.2.1.1,69
2005,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835143,5.2.1.1,71
2010,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835143,5.2.1.1,71
2000,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835144,5.2.1.2,47
2005,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835144,5.2.1.2,60
2010,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835144,5.2.1.2,68
2000,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835145,5.2.1.3,23100
2005,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835145,5.2.1.3,30800
2010,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835145,5.2.1.3,39600
2000,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835146,5.2.1.4,12
2005,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835146,5.2.1.4,11
2010,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835146,5.2.1.4,21
2000,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835147,5.2.1.5,19700
2005,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835147,5.2.1.5,27900
2010,New Brunswick,Bachelors,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835147,5.2.1.5,29800
2000,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835148,5.2.2.1,60
2005,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835148,5.2.2.1,61
2010,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835148,5.2.2.1,60
2000,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835149,5.2.2.2,44
2005,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835149,5.2.2.2,60
2010,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835149,5.2.2.2,68
2000,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835150,5.2.2.3,21900
2005,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835150,5.2.2.3,28500
2010,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835150,5.2.2.3,35200
2000,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835151,5.2.2.4,10
2005,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835151,5.2.2.4,9
2010,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835151,5.2.2.4,17
2000,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835152,5.2.2.5,18800
2005,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835152,5.2.2.5,25900
2010,New Brunswick,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835152,5.2.2.5,25800
2000,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835153,5.2.3.1,27
2005,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835153,5.2.3.1,35
2010,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835153,5.2.3.1,35
2000,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835154,5.2.3.2,11
2005,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835154,5.2.3.2,14
2010,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835154,5.2.3.2,29
2000,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835155,5.2.3.3,10200
2005,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835155,5.2.3.3,13200
2010,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835155,5.2.3.3,20000
2000,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835156,5.2.3.4,26
2005,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835156,5.2.3.4,26
2010,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835156,5.2.3.4,39
2000,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835157,5.2.3.5,9200
2005,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835157,5.2.3.5,12900
2010,New Brunswick,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835157,5.2.3.5,18000
2000,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835158,5.3.1.1,45
2005,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835158,5.3.1.1,45
2010,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835158,5.3.1.1,40
2000,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835159,5.3.1.2,36
2005,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835159,5.3.1.2,44
2010,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835159,5.3.1.2,45
2000,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835160,5.3.1.3,21000
2005,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835160,5.3.1.3,25100
2010,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835160,5.3.1.3,29400
2000,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835161,5.3.1.4,27
2005,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835161,5.3.1.4,28
2010,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835161,5.3.1.4,42
2000,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835162,5.3.1.5,20000
2005,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835162,5.3.1.5,23100
2010,New Brunswick,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88835162,5.3.1.5,26400
2000,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835163,5.3.2.1,36
2005,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835163,5.3.2.1,32
2010,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88835163,5.3.2.1,27
2000,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835164,5.3.2.2,31
2005,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835164,5.3.2.2,45
2010,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88835164,5.3.2.2,43
2000,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835165,5.3.2.3,19600
2005,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835165,5.3.2.3,24400
2010,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835165,5.3.2.3,27000
2000,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835166,5.3.2.4,21
2005,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835166,5.3.2.4,24
2010,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835166,5.3.2.4,37
2000,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835167,5.3.2.5,18300
2005,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835167,5.3.2.5,23300
2010,New Brunswick,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835167,5.3.2.5,22400
2000,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835168,5.3.3.1,21
2005,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835168,5.3.3.1,26
2010,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835168,5.3.3.1,25
2000,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835169,5.3.3.2,
2005,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835169,5.3.3.2,14
2010,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835169,5.3.3.2,31
2000,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835170,5.3.3.3,10800
2005,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835170,5.3.3.3,13000
2010,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835170,5.3.3.3,18600
2000,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835171,5.3.3.4,39
2005,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835171,5.3.3.4,42
2010,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835171,5.3.3.4,51
2000,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835172,5.3.3.5,10100
2005,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835172,5.3.3.5,12000
2010,New Brunswick,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835172,5.3.3.5,19800
2000,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835173,5.4.1.1,32
2005,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835173,5.4.1.1,42
2010,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835173,5.4.1.1,36
2000,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835174,5.4.1.2,
2005,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835174,5.4.1.2,60
2010,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835174,5.4.1.2,
2000,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835175,5.4.1.3,17100
2005,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835175,5.4.1.3,43300
2010,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88835175,5.4.1.3,40100
2000,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835176,5.4.1.4,
2005,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835176,5.4.1.4,
2010,New Brunswick,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88835176,5.4.1.4,84
