Ref_Date,Geo,School,Gender,Stats,Vector,Coordinate,Value
2010,Prince Edward Island,Bachelors,Females,Number of graduates,v88832578,3.2.3.1,200
2000,Prince Edward Island,Bachelors,Females,Employed percent,v88832579,3.2.3.2,90
2005,Prince Edward Island,Bachelors,Females,Employed percent,v88832579,3.2.3.2,86
2010,Prince Edward Island,Bachelors,Females,Employed percent,v88832579,3.2.3.2,96
2000,Prince Edward Island,Bachelors,Females,Employed fulltime percent,v88832580,3.2.3.3,79
2005,Prince Edward Island,Bachelors,Females,Employed fulltime percent,v88832580,3.2.3.3,76
2010,Prince Edward Island,Bachelors,Females,Employed fulltime percent,v88832580,3.2.3.3,86
2000,Prince Edward Island,Bachelors,Females,Employed parttime percent,v88832581,3.2.3.4,11
2005,Prince Edward Island,Bachelors,Females,Employed parttime percent,v88832581,3.2.3.4,9
2010,Prince Edward Island,Bachelors,Females,Employed parttime percent,v88832581,3.2.3.4,10
2000,Prince Edward Island,Bachelors,Females,Out of labour force percent,v88832582,3.2.3.5,
2005,Prince Edward Island,Bachelors,Females,Out of labour force percent,v88832582,3.2.3.5,4
2010,Prince Edward Island,Bachelors,Females,Out of labour force percent,v88832582,3.2.3.5,
2000,Prince Edward Island,Bachelors,Females,Unemployed rate,v88832583,3.2.3.6,7
2005,Prince Edward Island,Bachelors,Females,Unemployed rate,v88832583,3.2.3.6,11
2010,Prince Edward Island,Bachelors,Females,Unemployed rate,v88832583,3.2.3.6,
2000,Prince Edward Island,Masters,Both sexes,Number of graduates,v88832584,3.3.1.1,0
2005,Prince Edward Island,Masters,Both sexes,Number of graduates,v88832584,3.3.1.1,0
2010,Prince Edward Island,Masters,Both sexes,Number of graduates,v88832584,3.3.1.1,0
2000,Prince Edward Island,Masters,Both sexes,Employed percent,v88832585,3.3.1.2,
2005,Prince Edward Island,Masters,Both sexes,Employed percent,v88832585,3.3.1.2,94
2010,Prince Edward Island,Masters,Both sexes,Employed percent,v88832585,3.3.1.2,94
2000,Prince Edward Island,Masters,Both sexes,Employed fulltime percent,v88832586,3.3.1.3,
2005,Prince Edward Island,Masters,Both sexes,Employed fulltime percent,v88832586,3.3.1.3,83
2010,Prince Edward Island,Masters,Both sexes,Employed fulltime percent,v88832586,3.3.1.3,94
2000,Prince Edward Island,Masters,Both sexes,Employed parttime percent,v88832587,3.3.1.4,
2005,Prince Edward Island,Masters,Both sexes,Employed parttime percent,v88832587,3.3.1.4,
2010,Prince Edward Island,Masters,Both sexes,Employed parttime percent,v88832587,3.3.1.4,
2000,Prince Edward Island,Masters,Both sexes,Out of labour force percent,v88832588,3.3.1.5,
2005,Prince Edward Island,Masters,Both sexes,Out of labour force percent,v88832588,3.3.1.5,
2010,Prince Edward Island,Masters,Both sexes,Out of labour force percent,v88832588,3.3.1.5,
2000,Prince Edward Island,Masters,Both sexes,Unemployed rate,v88832589,3.3.1.6,
2005,Prince Edward Island,Masters,Both sexes,Unemployed rate,v88832589,3.3.1.6,
2010,Prince Edward Island,Masters,Both sexes,Unemployed rate,v88832589,3.3.1.6,
2000,Prince Edward Island,Masters,Males,Number of graduates,v88832590,3.3.2.1,
2005,Prince Edward Island,Masters,Males,Number of graduates,v88832590,3.3.2.1,
2010,Prince Edward Island,Masters,Males,Number of graduates,v88832590,3.3.2.1,0
2000,Prince Edward Island,Masters,Males,Employed percent,v88832591,3.3.2.2,
2005,Prince Edward Island,Masters,Males,Employed percent,v88832591,3.3.2.2,
2010,Prince Edward Island,Masters,Males,Employed percent,v88832591,3.3.2.2,100
2000,Prince Edward Island,Masters,Males,Employed fulltime percent,v88832592,3.3.2.3,
2005,Prince Edward Island,Masters,Males,Employed fulltime percent,v88832592,3.3.2.3,
2010,Prince Edward Island,Masters,Males,Employed fulltime percent,v88832592,3.3.2.3,100
2000,Prince Edward Island,Masters,Males,Employed parttime percent,v88832593,3.3.2.4,
2005,Prince Edward Island,Masters,Males,Employed parttime percent,v88832593,3.3.2.4,
2010,Prince Edward Island,Masters,Males,Employed parttime percent,v88832593,3.3.2.4,
2000,Prince Edward Island,Masters,Males,Out of labour force percent,v88832594,3.3.2.5,
2005,Prince Edward Island,Masters,Males,Out of labour force percent,v88832594,3.3.2.5,
2010,Prince Edward Island,Masters,Males,Out of labour force percent,v88832594,3.3.2.5,
2000,Prince Edward Island,Masters,Males,Unemployed rate,v88832595,3.3.2.6,
2005,Prince Edward Island,Masters,Males,Unemployed rate,v88832595,3.3.2.6,
2010,Prince Edward Island,Masters,Males,Unemployed rate,v88832595,3.3.2.6,
2000,Prince Edward Island,Masters,Females,Number of graduates,v88832596,3.3.3.1,0
2005,Prince Edward Island,Masters,Females,Number of graduates,v88832596,3.3.3.1,0
2010,Prince Edward Island,Masters,Females,Number of graduates,v88832596,3.3.3.1,0
2000,Prince Edward Island,Masters,Females,Employed percent,v88832597,3.3.3.2,
2005,Prince Edward Island,Masters,Females,Employed percent,v88832597,3.3.3.2,100
2010,Prince Edward Island,Masters,Females,Employed percent,v88832597,3.3.3.2,92
2000,Prince Edward Island,Masters,Females,Employed fulltime percent,v88832598,3.3.3.3,
2005,Prince Edward Island,Masters,Females,Employed fulltime percent,v88832598,3.3.3.3,86
2010,Prince Edward Island,Masters,Females,Employed fulltime percent,v88832598,3.3.3.3,92
2000,Prince Edward Island,Masters,Females,Employed parttime percent,v88832599,3.3.3.4,
2005,Prince Edward Island,Masters,Females,Employed parttime percent,v88832599,3.3.3.4,
2010,Prince Edward Island,Masters,Females,Employed parttime percent,v88832599,3.3.3.4,
2000,Prince Edward Island,Masters,Females,Out of labour force percent,v88832600,3.3.3.5,
2005,Prince Edward Island,Masters,Females,Out of labour force percent,v88832600,3.3.3.5,
2010,Prince Edward Island,Masters,Females,Out of labour force percent,v88832600,3.3.3.5,
2000,Prince Edward Island,Masters,Females,Unemployed rate,v88832601,3.3.3.6,
2005,Prince Edward Island,Masters,Females,Unemployed rate,v88832601,3.3.3.6,
2010,Prince Edward Island,Masters,Females,Unemployed rate,v88832601,3.3.3.6,
2000,Prince Edward Island,Doctorate,Both sexes,Number of graduates,v88832602,3.4.1.1,0
2005,Prince Edward Island,Doctorate,Both sexes,Number of graduates,v88832602,3.4.1.1,
2010,Prince Edward Island,Doctorate,Both sexes,Number of graduates,v88832602,3.4.1.1,0
2000,Prince Edward Island,Doctorate,Both sexes,Employed percent,v88832603,3.4.1.2,82
2005,Prince Edward Island,Doctorate,Both sexes,Employed percent,v88832603,3.4.1.2,
2010,Prince Edward Island,Doctorate,Both sexes,Employed percent,v88832603,3.4.1.2,100
2000,Prince Edward Island,Doctorate,Both sexes,Employed fulltime percent,v88832604,3.4.1.3,82
2005,Prince Edward Island,Doctorate,Both sexes,Employed fulltime percent,v88832604,3.4.1.3,
2010,Prince Edward Island,Doctorate,Both sexes,Employed fulltime percent,v88832604,3.4.1.3,100
2000,Prince Edward Island,Doctorate,Both sexes,Employed parttime percent,v88832605,3.4.1.4,
2005,Prince Edward Island,Doctorate,Both sexes,Employed parttime percent,v88832605,3.4.1.4,
2010,Prince Edward Island,Doctorate,Both sexes,Employed parttime percent,v88832605,3.4.1.4,
2000,Prince Edward Island,Doctorate,Both sexes,Out of labour force percent,v88832606,3.4.1.5,
2005,Prince Edward Island,Doctorate,Both sexes,Out of labour force percent,v88832606,3.4.1.5,
2010,Prince Edward Island,Doctorate,Both sexes,Out of labour force percent,v88832606,3.4.1.5,
2000,Prince Edward Island,Doctorate,Both sexes,Unemployed rate,v88832607,3.4.1.6,
2005,Prince Edward Island,Doctorate,Both sexes,Unemployed rate,v88832607,3.4.1.6,
2010,Prince Edward Island,Doctorate,Both sexes,Unemployed rate,v88832607,3.4.1.6,
2000,Prince Edward Island,Doctorate,Males,Number of graduates,v88832608,3.4.2.1,
2005,Prince Edward Island,Doctorate,Males,Number of graduates,v88832608,3.4.2.1,
2010,Prince Edward Island,Doctorate,Males,Number of graduates,v88832608,3.4.2.1,
2000,Prince Edward Island,Doctorate,Males,Employed percent,v88832609,3.4.2.2
2005,Prince Edward Island,Doctorate,Males,Employed percent,v88832609,3.4.2.2
2010,Prince Edward Island,Doctorate,Males,Employed percent,v88832609,3.4.2.2
2000,Prince Edward Island,Doctorate,Males,Employed fulltime percent,v88832610,3.4.2.3
2005,Prince Edward Island,Doctorate,Males,Employed fulltime percent,v88832610,3.4.2.3
2010,Prince Edward Island,Doctorate,Males,Employed fulltime percent,v88832610,3.4.2.3
2000,Prince Edward Island,Doctorate,Males,Employed parttime percent,v88832611,3.4.2.4
2005,Prince Edward Island,Doctorate,Males,Employed parttime percent,v88832611,3.4.2.4
2010,Prince Edward Island,Doctorate,Males,Employed parttime percent,v88832611,3.4.2.4
2000,Prince Edward Island,Doctorate,Males,Out of labour force percent,v88832612,3.4.2.5
2005,Prince Edward Island,Doctorate,Males,Out of labour force percent,v88832612,3.4.2.5
2010,Prince Edward Island,Doctorate,Males,Out of labour force percent,v88832612,3.4.2.5
2000,Prince Edward Island,Doctorate,Males,Unemployed rate,v88832613,3.4.2.6
2005,Prince Edward Island,Doctorate,Males,Unemployed rate,v88832613,3.4.2.6
2010,Prince Edward Island,Doctorate,Males,Unemployed rate,v88832613,3.4.2.6
2000,Prince Edward Island,Doctorate,Females,Number of graduates,v88832614,3.4.3.1
2005,Prince Edward Island,Doctorate,Females,Number of graduates,v88832614,3.4.3.1
2010,Prince Edward Island,Doctorate,Females,Number of graduates,v88832614,3.4.3.1
2000,Prince Edward Island,Doctorate,Females,Employed percent,v88832615,3.4.3.2
2005,Prince Edward Island,Doctorate,Females,Employed percent,v88832615,3.4.3.2
2010,Prince Edward Island,Doctorate,Females,Employed percent,v88832615,3.4.3.2
2000,Prince Edward Island,Doctorate,Females,Employed fulltime percent,v88832616,3.4.3.3
2005,Prince Edward Island,Doctorate,Females,Employed fulltime percent,v88832616,3.4.3.3
2010,Prince Edward Island,Doctorate,Females,Employed fulltime percent,v88832616,3.4.3.3
2000,Prince Edward Island,Doctorate,Females,Employed parttime percent,v88832617,3.4.3.4
2005,Prince Edward Island,Doctorate,Females,Employed parttime percent,v88832617,3.4.3.4
2010,Prince Edward Island,Doctorate,Females,Employed parttime percent,v88832617,3.4.3.4
2000,Prince Edward Island,Doctorate,Females,Out of labour force percent,v88832618,3.4.3.5
2005,Prince Edward Island,Doctorate,Females,Out of labour force percent,v88832618,3.4.3.5
2010,Prince Edward Island,Doctorate,Females,Out of labour force percent,v88832618,3.4.3.5
2000,Prince Edward Island,Doctorate,Females,Unemployed rate,v88832619,3.4.3.6
2005,Prince Edward Island,Doctorate,Females,Unemployed rate,v88832619,3.4.3.6
2010,Prince Edward Island,Doctorate,Females,Unemployed rate,v88832619,3.4.3.6,
2000,Nova Scotia,College,Both sexes,Number of graduates,v88832620,4.1.1.1,2800
2005,Nova Scotia,College,Both sexes,Number of graduates,v88832620,4.1.1.1,2600
2010,Nova Scotia,College,Both sexes,Number of graduates,v88832620,4.1.1.1,3400
2000,Nova Scotia,College,Both sexes,Employed percent,v88832621,4.1.1.2,87
2005,Nova Scotia,College,Both sexes,Employed percent,v88832621,4.1.1.2,88
2010,Nova Scotia,College,Both sexes,Employed percent,v88832621,4.1.1.2,86
2000,Nova Scotia,College,Both sexes,Employed fulltime percent,v88832622,4.1.1.3,80
2005,Nova Scotia,College,Both sexes,Employed fulltime percent,v88832622,4.1.1.3,79
2010,Nova Scotia,College,Both sexes,Employed fulltime percent,v88832622,4.1.1.3,78
2000,Nova Scotia,College,Both sexes,Employed parttime percent,v88832623,4.1.1.4,7
2005,Nova Scotia,College,Both sexes,Employed parttime percent,v88832623,4.1.1.4,8
2010,Nova Scotia,College,Both sexes,Employed parttime percent,v88832623,4.1.1.4,9
2000,Nova Scotia,College,Both sexes,Out of labour force percent,v88832624,4.1.1.5,4
2005,Nova Scotia,College,Both sexes,Out of labour force percent,v88832624,4.1.1.5,4
2010,Nova Scotia,College,Both sexes,Out of labour force percent,v88832624,4.1.1.5,5
2000,Nova Scotia,College,Both sexes,Unemployed rate,v88832625,4.1.1.6,10
2005,Nova Scotia,College,Both sexes,Unemployed rate,v88832625,4.1.1.6,9
2010,Nova Scotia,College,Both sexes,Unemployed rate,v88832625,4.1.1.6,9
2000,Nova Scotia,College,Males,Number of graduates,v88832626,4.1.2.1,1300
2005,Nova Scotia,College,Males,Number of graduates,v88832626,4.1.2.1,1300
2010,Nova Scotia,College,Males,Number of graduates,v88832626,4.1.2.1,1400
2000,Nova Scotia,College,Males,Employed percent,v88832627,4.1.2.2,83
2005,Nova Scotia,College,Males,Employed percent,v88832627,4.1.2.2,88
2010,Nova Scotia,College,Males,Employed percent,v88832627,4.1.2.2,87
2000,Nova Scotia,College,Males,Employed fulltime percent,v88832628,4.1.2.3,82
2005,Nova Scotia,College,Males,Employed fulltime percent,v88832628,4.1.2.3,85
2010,Nova Scotia,College,Males,Employed fulltime percent,v88832628,4.1.2.3,84
2000,Nova Scotia,College,Males,Employed parttime percent,v88832629,4.1.2.4,
2005,Nova Scotia,College,Males,Employed parttime percent,v88832629,4.1.2.4,2
2010,Nova Scotia,College,Males,Employed parttime percent,v88832629,4.1.2.4,
2000,Nova Scotia,College,Males,Out of labour force percent,v88832630,4.1.2.5,4
2005,Nova Scotia,College,Males,Out of labour force percent,v88832630,4.1.2.5,4
2010,Nova Scotia,College,Males,Out of labour force percent,v88832630,4.1.2.5,
2000,Nova Scotia,College,Males,Unemployed rate,v88832631,4.1.2.6,13
2005,Nova Scotia,College,Males,Unemployed rate,v88832631,4.1.2.6,9
2010,Nova Scotia,College,Males,Unemployed rate,v88832631,4.1.2.6,9
2000,Nova Scotia,College,Females,Number of graduates,v88832632,4.1.3.1,1500
2005,Nova Scotia,College,Females,Number of graduates,v88832632,4.1.3.1,1300
2010,Nova Scotia,College,Females,Number of graduates,v88832632,4.1.3.1,2000
2000,Nova Scotia,College,Females,Employed percent,v88832633,4.1.3.2,90
2005,Nova Scotia,College,Females,Employed percent,v88832633,4.1.3.2,88
2010,Nova Scotia,College,Females,Employed percent,v88832633,4.1.3.2,86
2000,Nova Scotia,College,Females,Employed fulltime percent,v88832634,4.1.3.3,78
2005,Nova Scotia,College,Females,Employed fulltime percent,v88832634,4.1.3.3,74
2010,Nova Scotia,College,Females,Employed fulltime percent,v88832634,4.1.3.3,73
2000,Nova Scotia,College,Females,Employed parttime percent,v88832635,4.1.3.4,11
2005,Nova Scotia,College,Females,Employed parttime percent,v88832635,4.1.3.4,13
2010,Nova Scotia,College,Females,Employed parttime percent,v88832635,4.1.3.4,13
2000,Nova Scotia,College,Females,Out of labour force percent,v88832636,4.1.3.5,4
2005,Nova Scotia,College,Females,Out of labour force percent,v88832636,4.1.3.5,4
2010,Nova Scotia,College,Females,Out of labour force percent,v88832636,4.1.3.5,6
2000,Nova Scotia,College,Females,Unemployed rate,v88832637,4.1.3.6,7
2005,Nova Scotia,College,Females,Unemployed rate,v88832637,4.1.3.6,8
2010,Nova Scotia,College,Females,Unemployed rate,v88832637,4.1.3.6,9
2000,Nova Scotia,Bachelors,Both sexes,Number of graduates,v88832638,4.2.1.1,3100
2005,Nova Scotia,Bachelors,Both sexes,Number of graduates,v88832638,4.2.1.1,3800
2010,Nova Scotia,Bachelors,Both sexes,Number of graduates,v88832638,4.2.1.1,3700
2000,Nova Scotia,Bachelors,Both sexes,Employed percent,v88832639,4.2.1.2,89
2005,Nova Scotia,Bachelors,Both sexes,Employed percent,v88832639,4.2.1.2,90
2010,Nova Scotia,Bachelors,Both sexes,Employed percent,v88832639,4.2.1.2,91
2000,Nova Scotia,Bachelors,Both sexes,Employed fulltime percent,v88832640,4.2.1.3,84
2005,Nova Scotia,Bachelors,Both sexes,Employed fulltime percent,v88832640,4.2.1.3,82
2010,Nova Scotia,Bachelors,Both sexes,Employed fulltime percent,v88832640,4.2.1.3,85
2000,Nova Scotia,Bachelors,Both sexes,Employed parttime percent,v88832641,4.2.1.4,5
2005,Nova Scotia,Bachelors,Both sexes,Employed parttime percent,v88832641,4.2.1.4,6
2010,Nova Scotia,Bachelors,Both sexes,Employed parttime percent,v88832641,4.2.1.4,6
2000,Nova Scotia,Bachelors,Both sexes,Out of labour force percent,v88832642,4.2.1.5,4
2005,Nova Scotia,Bachelors,Both sexes,Out of labour force percent,v88832642,4.2.1.5,4
2010,Nova Scotia,Bachelors,Both sexes,Out of labour force percent,v88832642,4.2.1.5,4
2000,Nova Scotia,Bachelors,Both sexes,Unemployed rate,v88832643,4.2.1.6,7
2005,Nova Scotia,Bachelors,Both sexes,Unemployed rate,v88832643,4.2.1.6,6
2010,Nova Scotia,Bachelors,Both sexes,Unemployed rate,v88832643,4.2.1.6,5
2000,Nova Scotia,Bachelors,Males,Number of graduates,v88832644,4.2.2.1,1300
2005,Nova Scotia,Bachelors,Males,Number of graduates,v88832644,4.2.2.1,1500
2010,Nova Scotia,Bachelors,Males,Number of graduates,v88832644,4.2.2.1,1600
2000,Nova Scotia,Bachelors,Males,Employed percent,v88832645,4.2.2.2,90
2005,Nova Scotia,Bachelors,Males,Employed percent,v88832645,4.2.2.2,89
2010,Nova Scotia,Bachelors,Males,Employed percent,v88832645,4.2.2.2,91
2000,Nova Scotia,Bachelors,Males,Employed fulltime percent,v88832646,4.2.2.3,86
2005,Nova Scotia,Bachelors,Males,Employed fulltime percent,v88832646,4.2.2.3,82
2010,Nova Scotia,Bachelors,Males,Employed fulltime percent,v88832646,4.2.2.3,90
2000,Nova Scotia,Bachelors,Males,Employed parttime percent,v88832647,4.2.2.4,
2005,Nova Scotia,Bachelors,Males,Employed parttime percent,v88832647,4.2.2.4,5
2010,Nova Scotia,Bachelors,Males,Employed parttime percent,v88832647,4.2.2.4,
2000,Nova Scotia,Bachelors,Males,Out of labour force percent,v88832648,4.2.2.5,
2005,Nova Scotia,Bachelors,Males,Out of labour force percent,v88832648,4.2.2.5,
2010,Nova Scotia,Bachelors,Males,Out of labour force percent,v88832648,4.2.2.5,
2000,Nova Scotia,Bachelors,Males,Unemployed rate,v88832649,4.2.2.6,9
2005,Nova Scotia,Bachelors,Males,Unemployed rate,v88832649,4.2.2.6,8
2010,Nova Scotia,Bachelors,Males,Unemployed rate,v88832649,4.2.2.6,3
2000,Nova Scotia,Bachelors,Females,Number of graduates,v88832650,4.2.3.1,1800
2005,Nova Scotia,Bachelors,Females,Number of graduates,v88832650,4.2.3.1,2400
2010,Nova Scotia,Bachelors,Females,Number of graduates,v88832650,4.2.3.1,2100
2000,Nova Scotia,Bachelors,Females,Employed percent,v88832651,4.2.3.2,88
2005,Nova Scotia,Bachelors,Females,Employed percent,v88832651,4.2.3.2,90
2010,Nova Scotia,Bachelors,Females,Employed percent,v88832651,4.2.3.2,90
2000,Nova Scotia,Bachelors,Females,Employed fulltime percent,v88832652,4.2.3.3,82
2005,Nova Scotia,Bachelors,Females,Employed fulltime percent,v88832652,4.2.3.3,82
2010,Nova Scotia,Bachelors,Females,Employed fulltime percent,v88832652,4.2.3.3,81
2000,Nova Scotia,Bachelors,Females,Employed parttime percent,v88832653,4.2.3.4,6
2005,Nova Scotia,Bachelors,Females,Employed parttime percent,v88832653,4.2.3.4,7
2010,Nova Scotia,Bachelors,Females,Employed parttime percent,v88832653,4.2.3.4,9
2000,Nova Scotia,Bachelors,Females,Out of labour force percent,v88832654,4.2.3.5,6
2005,Nova Scotia,Bachelors,Females,Out of labour force percent,v88832654,4.2.3.5,5
2010,Nova Scotia,Bachelors,Females,Out of labour force percent,v88832654,4.2.3.5,3
2000,Nova Scotia,Bachelors,Females,Unemployed rate,v88832655,4.2.3.6,6
2005,Nova Scotia,Bachelors,Females,Unemployed rate,v88832655,4.2.3.6,6
2010,Nova Scotia,Bachelors,Females,Unemployed rate,v88832655,4.2.3.6,7
2000,Nova Scotia,Masters,Both sexes,Number of graduates,v88832656,4.3.1.1,800
2005,Nova Scotia,Masters,Both sexes,Number of graduates,v88832656,4.3.1.1,1300
2010,Nova Scotia,Masters,Both sexes,Number of graduates,v88832656,4.3.1.1,1500
2000,Nova Scotia,Masters,Both sexes,Employed percent,v88832657,4.3.1.2,94
2005,Nova Scotia,Masters,Both sexes,Employed percent,v88832657,4.3.1.2,95
2010,Nova Scotia,Masters,Both sexes,Employed percent,v88832657,4.3.1.2,95
2000,Nova Scotia,Masters,Both sexes,Employed fulltime percent,v88832658,4.3.1.3,91
2005,Nova Scotia,Masters,Both sexes,Employed fulltime percent,v88832658,4.3.1.3,90
2010,Nova Scotia,Masters,Both sexes,Employed fulltime percent,v88832658,4.3.1.3,89
2000,Nova Scotia,Masters,Both sexes,Employed parttime percent,v88832659,4.3.1.4,2
2005,Nova Scotia,Masters,Both sexes,Employed parttime percent,v88832659,4.3.1.4,3
2010,Nova Scotia,Masters,Both sexes,Employed parttime percent,v88832659,4.3.1.4,6
2000,Nova Scotia,Masters,Both sexes,Out of labour force percent,v88832660,4.3.1.5,2
2005,Nova Scotia,Masters,Both sexes,Out of labour force percent,v88832660,4.3.1.5,1
2010,Nova Scotia,Masters,Both sexes,Out of labour force percent,v88832660,4.3.1.5,3
2000,Nova Scotia,Masters,Both sexes,Unemployed rate,v88832661,4.3.1.6,4
2005,Nova Scotia,Masters,Both sexes,Unemployed rate,v88832661,4.3.1.6,4
2010,Nova Scotia,Masters,Both sexes,Unemployed rate,v88832661,4.3.1.6,2
2000,Nova Scotia,Masters,Males,Number of graduates,v88832662,4.3.2.1,300
2005,Nova Scotia,Masters,Males,Number of graduates,v88832662,4.3.2.1,500
2010,Nova Scotia,Masters,Males,Number of graduates,v88832662,4.3.2.1,500
2000,Nova Scotia,Masters,Males,Employed percent,v88832663,4.3.2.2,97
2005,Nova Scotia,Masters,Males,Employed percent,v88832663,4.3.2.2,94
2010,Nova Scotia,Masters,Males,Employed percent,v88832663,4.3.2.2,96
2000,Nova Scotia,Masters,Males,Employed fulltime percent,v88832664,4.3.2.3,93
2005,Nova Scotia,Masters,Males,Employed fulltime percent,v88832664,4.3.2.3,91
2010,Nova Scotia,Masters,Males,Employed fulltime percent,v88832664,4.3.2.3,92
2000,Nova Scotia,Masters,Males,Employed parttime percent,v88832665,4.3.2.4,
2005,Nova Scotia,Masters,Males,Employed parttime percent,v88832665,4.3.2.4,3
2010,Nova Scotia,Masters,Males,Employed parttime percent,v88832665,4.3.2.4,
2000,Nova Scotia,Masters,Males,Out of labour force percent,v88832666,4.3.2.5,
2005,Nova Scotia,Masters,Males,Out of labour force percent,v88832666,4.3.2.5,
2010,Nova Scotia,Masters,Males,Out of labour force percent,v88832666,4.3.2.5,
2000,Nova Scotia,Masters,Males,Unemployed rate,v88832667,4.3.2.6,3
2005,Nova Scotia,Masters,Males,Unemployed rate,v88832667,4.3.2.6,5
2010,Nova Scotia,Masters,Males,Unemployed rate,v88832667,4.3.2.6,
2000,Nova Scotia,Masters,Females,Number of graduates,v88832668,4.3.3.1,500
2005,Nova Scotia,Masters,Females,Number of graduates,v88832668,4.3.3.1,800
2010,Nova Scotia,Masters,Females,Number of graduates,v88832668,4.3.3.1,1000
2000,Nova Scotia,Masters,Females,Employed percent,v88832669,4.3.3.2,93
2005,Nova Scotia,Masters,Females,Employed percent,v88832669,4.3.3.2,95
2010,Nova Scotia,Masters,Females,Employed percent,v88832669,4.3.3.2,95
2000,Nova Scotia,Masters,Females,Employed fulltime percent,v88832670,4.3.3.3,89
2005,Nova Scotia,Masters,Females,Employed fulltime percent,v88832670,4.3.3.3,89
2010,Nova Scotia,Masters,Females,Employed fulltime percent,v88832670,4.3.3.3,88
2000,Nova Scotia,Masters,Females,Employed parttime percent,v88832671,4.3.3.4,3
2005,Nova Scotia,Masters,Females,Employed parttime percent,v88832671,4.3.3.4,4
2010,Nova Scotia,Masters,Females,Employed parttime percent,v88832671,4.3.3.4,7
2000,Nova Scotia,Masters,Females,Out of labour force percent,v88832672,4.3.3.5,3
2005,Nova Scotia,Masters,Females,Out of labour force percent,v88832672,4.3.3.5,2
2010,Nova Scotia,Masters,Females,Out of labour force percent,v88832672,4.3.3.5,4
2000,Nova Scotia,Masters,Females,Unemployed rate,v88832673,4.3.3.6,5
2005,Nova Scotia,Masters,Females,Unemployed rate,v88832673,4.3.3.6,3
2010,Nova Scotia,Masters,Females,Unemployed rate,v88832673,4.3.3.6,1
2000,Nova Scotia,Doctorate,Both sexes,Number of graduates,v88832674,4.4.1.1,100
2005,Nova Scotia,Doctorate,Both sexes,Number of graduates,v88832674,4.4.1.1,100
2010,Nova Scotia,Doctorate,Both sexes,Number of graduates,v88832674,4.4.1.1,100
2000,Nova Scotia,Doctorate,Both sexes,Employed percent,v88832675,4.4.1.2,96
2005,Nova Scotia,Doctorate,Both sexes,Employed percent,v88832675,4.4.1.2,100
2010,Nova Scotia,Doctorate,Both sexes,Employed percent,v88832675,4.4.1.2,92
2000,Nova Scotia,Doctorate,Both sexes,Employed fulltime percent,v88832676,4.4.1.3,96
2005,Nova Scotia,Doctorate,Both sexes,Employed fulltime percent,v88832676,4.4.1.3,89
2010,Nova Scotia,Doctorate,Both sexes,Employed fulltime percent,v88832676,4.4.1.3,78
2000,Nova Scotia,Doctorate,Both sexes,Employed parttime percent,v88832677,4.4.1.4,
2005,Nova Scotia,Doctorate,Both sexes,Employed parttime percent,v88832677,4.4.1.4,
2010,Nova Scotia,Doctorate,Both sexes,Employed parttime percent,v88832677,4.4.1.4,
2000,Nova Scotia,Doctorate,Both sexes,Out of labour force percent,v88832678,4.4.1.5,
2005,Nova Scotia,Doctorate,Both sexes,Out of labour force percent,v88832678,4.4.1.5,
2010,Nova Scotia,Doctorate,Both sexes,Out of labour force percent,v88832678,4.4.1.5,
2000,Nova Scotia,Doctorate,Both sexes,Unemployed rate,v88832679,4.4.1.6,
2005,Nova Scotia,Doctorate,Both sexes,Unemployed rate,v88832679,4.4.1.6,
2010,Nova Scotia,Doctorate,Both sexes,Unemployed rate,v88832679,4.4.1.6,
2000,Nova Scotia,Doctorate,Males,Number of graduates,v88832680,4.4.2.1,0
2005,Nova Scotia,Doctorate,Males,Number of graduates,v88832680,4.4.2.1,0
2010,Nova Scotia,Doctorate,Males,Number of graduates,v88832680,4.4.2.1,0
2000,Nova Scotia,Doctorate,Males,Employed percent,v88832681,4.4.2.2,93
2005,Nova Scotia,Doctorate,Males,Employed percent,v88832681,4.4.2.2,100
2010,Nova Scotia,Doctorate,Males,Employed percent,v88832681,4.4.2.2,95
2000,Nova Scotia,Doctorate,Males,Employed fulltime percent,v88832682,4.4.2.3,93
2005,Nova Scotia,Doctorate,Males,Employed fulltime percent,v88832682,4.4.2.3,86
2010,Nova Scotia,Doctorate,Males,Employed fulltime percent,v88832682,4.4.2.3,91
2000,Nova Scotia,Doctorate,Males,Employed parttime percent,v88832683,4.4.2.4,
2005,Nova Scotia,Doctorate,Males,Employed parttime percent,v88832683,4.4.2.4,
2010,Nova Scotia,Doctorate,Males,Employed parttime percent,v88832683,4.4.2.4,
2000,Nova Scotia,Doctorate,Males,Out of labour force percent,v88832684,4.4.2.5,
2005,Nova Scotia,Doctorate,Males,Out of labour force percent,v88832684,4.4.2.5,
2010,Nova Scotia,Doctorate,Males,Out of labour force percent,v88832684,4.4.2.5,
2000,Nova Scotia,Doctorate,Males,Unemployed rate,v88832685,4.4.2.6,
2005,Nova Scotia,Doctorate,Males,Unemployed rate,v88832685,4.4.2.6,
2010,Nova Scotia,Doctorate,Males,Unemployed rate,v88832685,4.4.2.6,
2000,Nova Scotia,Doctorate,Females,Number of graduates,v88832686,4.4.3.1,0
2005,Nova Scotia,Doctorate,Females,Number of graduates,v88832686,4.4.3.1,0
2010,Nova Scotia,Doctorate,Females,Number of graduates,v88832686,4.4.3.1,100
2000,Nova Scotia,Doctorate,Females,Employed percent,v88832687,4.4.3.2,100
