Ref_Date,GEO,HAR,Vector,Coordinate,Value
1921,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.20
1922,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.32
1923,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.56
1924,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.94
1925,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.09
1926,Prince Edward Island,Average yield (tons per acre),v47231,8.2,10.10
1927,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.19
1928,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.25
1929,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.23
1930,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.96
1931,Prince Edward Island,Average yield (tons per acre),v47231,8.2,10.84
1932,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.06
1933,Prince Edward Island,Average yield (tons per acre),v47231,8.2,18.76
1934,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.95
1935,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.98
1936,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.33
1937,Prince Edward Island,Average yield (tons per acre),v47231,8.2,8.97
1938,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.46
1939,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.30
1940,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.76
1941,Prince Edward Island,Average yield (tons per acre),v47231,8.2,8.75
1942,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.75
1943,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.65
1944,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.00
1945,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.50
1946,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.75
1947,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.75
1948,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.45
1949,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.50
1950,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.70
1951,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.55
1952,Prince Edward Island,Average yield (tons per acre),v47231,8.2,15.00
1953,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.70
1954,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.00
1955,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.40
1956,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.50
1957,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.40
1958,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.00
1959,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.58
1960,Prince Edward Island,Average yield (tons per acre),v47231,8.2,10.00
1961,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.50
1962,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.94
1963,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.67
1964,Prince Edward Island,Average yield (tons per acre),v47231,8.2,16.13
1965,Prince Edward Island,Average yield (tons per acre),v47231,8.2,10.00
1966,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.16
1967,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.35
1968,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.30
1969,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.50
1970,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.00
1971,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.58
1972,Prince Edward Island,Average yield (tons per acre),v47231,8.2,13.00
1973,Prince Edward Island,Average yield (tons per acre),v47231,8.2,10.75
1974,Prince Edward Island,Average yield (tons per acre),v47231,8.2,14.50
1975,Prince Edward Island,Average yield (tons per acre),v47231,8.2,11.00
1976,Prince Edward Island,Average yield (tons per acre),v47231,8.2,12.60
1908,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,93.00
1909,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,110.00
1910,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,76.00
1911,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,95.00
1912,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,90.00
1913,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,101.00
1914,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,89.00
1915,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,89.00
1916,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,95.00
1917,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,102.00
1918,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,107.00
1919,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,160.00
1920,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,113.00
1921,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,142.00
1922,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,116.00
1923,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,108.00
1924,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,117.00
1925,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,127.00
1926,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,104.00
1927,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,128.00
1928,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,151.00
1929,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,158.00
1930,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,202.00
1931,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,90.00
1932,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,134.00
1933,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,182.00
1934,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,160.00
1935,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,121.00
1936,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,184.00
1937,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,104.00
1938,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,142.00
1939,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,122.00
1940,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,127.00
1941,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,96.00
1942,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,147.00
1943,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,166.00
1944,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,146.00
1945,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,119.00
1946,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,124.00
1947,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,111.00
1948,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,130.00
1949,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,111.00
1950,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,105.00
1951,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,103.00
1952,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,106.00
1953,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,92.00
1954,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,88.00
1955,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,98.00
1956,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,85.00
1957,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,75.00
1958,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,76.00
1959,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,67.00
1960,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,41.00
1961,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,40.00
1962,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,37.00
1963,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,38.00
1964,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,50.00
1965,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,27.00
1966,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,25.00
1967,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,21.00
1968,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,20.00
1969,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,16.00
1970,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,9.00
1971,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,5.00
1972,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,10.00
1973,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,9.00
1974,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,9.00
1975,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,6.00
1976,Prince Edward Island,"Production (tons x 1,000)",v47243,8.3,6.00
1908,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.18
1909,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.18
1910,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.41
1911,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,8.41
1912,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,8.38
1913,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,9.56
1914,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,8.80
1915,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,10.37
1916,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,11.24
1917,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.44
1918,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,11.64
1919,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,10.24
1920,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.03
1921,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,9.41
1922,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.18
1923,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.99
1924,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.99
1925,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.97
1926,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,14.15
1927,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,8.41
1928,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.62
1929,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,8.20
1930,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.02
1931,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,3.99
1932,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,4.38
1933,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.99
1934,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,4.81
1935,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.61
1936,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.21
1937,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,6.02
1938,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.02
1939,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,6.98
1940,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,5.22
1941,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,7.60
1942,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,6.80
1943,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,10.40
1944,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.20
1945,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,15.40
1946,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.60
1947,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,15.00
1948,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,14.40
1949,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,23.40
1950,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,15.60
1951,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,21.60
1952,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.80
1953,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,12.00
1954,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,14.00
1955,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,15.20
1956,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,16.20
1957,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,18.00
1958,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,18.00
1959,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,18.00
1960,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,20.00
1961,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,19.25
1962,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,20.00
1963,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,19.00
1964,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,21.00
1965,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,24.00
1966,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,22.60
1967,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,19.00
1968,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,17.50
1969,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,34.00
1970,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,16.80
1971,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,24.60
1972,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,48.20
1973,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,38.85
1974,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,57.36
1975,Prince Edward Island,Average farm price (dollars per ton),v47255,8.4,62.18
1908,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,668.00
1909,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,790.00
1910,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,411.00
1911,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,799.00
1912,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,754.00
1913,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,966.00
1914,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,783.00
1915,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,923.00
1916,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1068.00
1917,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1269.00
1918,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1245.00
1919,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1639.00
1920,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1359.00
1921,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1336.00
1922,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,833.00
1923,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,647.00
1924,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,701.00
1925,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1012.00
1926,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1472.00
1927,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1076.00
1928,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1150.00
1929,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1296.00
1930,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1418.00
1931,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,359.00
1932,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,587.00
1933,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1455.00
1934,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,770.00
1935,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,679.00
1936,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,958.00
1937,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,626.00
1938,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,713.00
1939,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,851.00
1940,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,663.00
1941,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,730.00
1942,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1000.00
1943,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1726.00
1944,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1781.00
1945,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1833.00
1946,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1562.00
1947,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1665.00
1948,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1872.00
1949,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,2597.00
1950,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1638.00
1951,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,2225.00
1952,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1357.00
1953,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1104.00
1954,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1232.00
1955,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1490.00
1956,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1377.00
1957,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1350.00
1958,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1368.00
1959,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1206.00
1960,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,820.00
1961,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,770.00
1962,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,740.00
1963,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,722.00
1964,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,1050.00
1965,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,648.00
1966,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,565.00
1967,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,399.00
1968,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,350.00
1969,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,544.00
1970,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,151.00
1971,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,123.00
1972,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,482.00
1973,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,350.00
1974,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,516.00
1975,Prince Edward Island,"Total farm value (dollars x 1,000)",v47267,8.5,342.00
1908,Nova Scotia,Seeded area (acres),v47220,9.1,18700.00
1909,Nova Scotia,Seeded area (acres),v47220,9.1,18800.00
1910,Nova Scotia,Seeded area (acres),v47220,9.1,9600.00
1911,Nova Scotia,Seeded area (acres),v47220,9.1,11900.00
1912,Nova Scotia,Seeded area (acres),v47220,9.1,12000.00
1913,Nova Scotia,Seeded area (acres),v47220,9.1,12000.00
1914,Nova Scotia,Seeded area (acres),v47220,9.1,9000.00
1915,Nova Scotia,Seeded area (acres),v47220,9.1,9200.00
1916,Nova Scotia,Seeded area (acres),v47220,9.1,9000.00
1917,Nova Scotia,Seeded area (acres),v47220,9.1,9100.00
1918,Nova Scotia,Seeded area (acres),v47220,9.1,23800.00
1919,Nova Scotia,Seeded area (acres),v47220,9.1,30300.00
1920,Nova Scotia,Seeded area (acres),v47220,9.1,19900.00
1921,Nova Scotia,Seeded area (acres),v47220,9.1,15400.00
1922,Nova Scotia,Seeded area (acres),v47220,9.1,16200.00
1923,Nova Scotia,Seeded area (acres),v47220,9.1,12400.00
1924,Nova Scotia,Seeded area (acres),v47220,9.1,12600.00
1925,Nova Scotia,Seeded area (acres),v47220,9.1,13400.00
1926,Nova Scotia,Seeded area (acres),v47220,9.1,14900.00
1927,Nova Scotia,Seeded area (acres),v47220,9.1,15300.00
1928,Nova Scotia,Seeded area (acres),v47220,9.1,15900.00
1929,Nova Scotia,Seeded area (acres),v47220,9.1,15500.00
1930,Nova Scotia,Seeded area (acres),v47220,9.1,15800.00
1931,Nova Scotia,Seeded area (acres),v47220,9.1,8800.00
1932,Nova Scotia,Seeded area (acres),v47220,9.1,9500.00
1933,Nova Scotia,Seeded area (acres),v47220,9.1,10700.00
1934,Nova Scotia,Seeded area (acres),v47220,9.1,11200.00
1935,Nova Scotia,Seeded area (acres),v47220,9.1,11800.00
1936,Nova Scotia,Seeded area (acres),v47220,9.1,11700.00
1937,Nova Scotia,Seeded area (acres),v47220,9.1,11700.00
1938,Nova Scotia,Seeded area (acres),v47220,9.1,11900.00
1939,Nova Scotia,Seeded area (acres),v47220,9.1,12000.00
1940,Nova Scotia,Seeded area (acres),v47220,9.1,11900.00
1941,Nova Scotia,Seeded area (acres),v47220,9.1,9100.00
1942,Nova Scotia,Seeded area (acres),v47220,9.1,9300.00
1943,Nova Scotia,Seeded area (acres),v47220,9.1,9800.00
1944,Nova Scotia,Seeded area (acres),v47220,9.1,8400.00
1945,Nova Scotia,Seeded area (acres),v47220,9.1,7600.00
1946,Nova Scotia,Seeded area (acres),v47220,9.1,6600.00
1947,Nova Scotia,Seeded area (acres),v47220,9.1,5500.00
1948,Nova Scotia,Seeded area (acres),v47220,9.1,5400.00
1949,Nova Scotia,Seeded area (acres),v47220,9.1,4600.00
1950,Nova Scotia,Seeded area (acres),v47220,9.1,4600.00
1951,Nova Scotia,Seeded area (acres),v47220,9.1,4300.00
1952,Nova Scotia,Seeded area (acres),v47220,9.1,4300.00
1953,Nova Scotia,Seeded area (acres),v47220,9.1,4600.00
1954,Nova Scotia,Seeded area (acres),v47220,9.1,4300.00
1955,Nova Scotia,Seeded area (acres),v47220,9.1,4200.00
1956,Nova Scotia,Seeded area (acres),v47220,9.1,3700.00
1957,Nova Scotia,Seeded area (acres),v47220,9.1,3100.00
1958,Nova Scotia,Seeded area (acres),v47220,9.1,3100.00
1959,Nova Scotia,Seeded area (acres),v47220,9.1,2700.00
1960,Nova Scotia,Seeded area (acres),v47220,9.1,2500.00
1961,Nova Scotia,Seeded area (acres),v47220,9.1,2300.00
1962,Nova Scotia,Seeded area (acres),v47220,9.1,2200.00
1963,Nova Scotia,Seeded area (acres),v47220,9.1,1900.00
1964,Nova Scotia,Seeded area (acres),v47220,9.1,1800.00
1965,Nova Scotia,Seeded area (acres),v47220,9.1,1500.00
1966,Nova Scotia,Seeded area (acres),v47220,9.1,1300.00
1967,Nova Scotia,Seeded area (acres),v47220,9.1,1200.00
1968,Nova Scotia,Seeded area (acres),v47220,9.1,1000.00
1969,Nova Scotia,Seeded area (acres),v47220,9.1,800.00
1970,Nova Scotia,Seeded area (acres),v47220,9.1,600.00
1971,Nova Scotia,Seeded area (acres),v47220,9.1,400.00
1972,Nova Scotia,Seeded area (acres),v47220,9.1,400.00
1973,Nova Scotia,Seeded area (acres),v47220,9.1,600.00
1974,Nova Scotia,Seeded area (acres),v47220,9.1,800.00
1975,Nova Scotia,Seeded area (acres),v47220,9.1,600.00
1976,Nova Scotia,Seeded area (acres),v47220,9.1,500.00
1908,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.57
1909,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.50
1910,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.48
1911,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.67
1912,Nova Scotia,Average yield (tons per acre),v47232,9.2,11.67
1913,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.75
1914,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.67
1915,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.78
1916,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.11
1917,Nova Scotia,Average yield (tons per acre),v47232,9.2,8.79
1918,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.79
1919,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.43
1920,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.80
1921,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.40
1922,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.74
1923,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.16
1924,Nova Scotia,Average yield (tons per acre),v47232,9.2,11.75
1925,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.24
1926,Nova Scotia,Average yield (tons per acre),v47232,9.2,11.01
1927,Nova Scotia,Average yield (tons per acre),v47232,9.2,9.93
1928,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.20
1929,Nova Scotia,Average yield (tons per acre),v47232,9.2,11.16
1930,Nova Scotia,Average yield (tons per acre),v47232,9.2,8.92
1931,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.73
1932,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.58
1933,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.83
1934,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.68
1935,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.15
1936,Nova Scotia,Average yield (tons per acre),v47232,9.2,16.24
1937,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.48
1938,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.61
1939,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.50
1940,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.79
1941,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1942,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.90
1943,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.50
1944,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.00
1945,Nova Scotia,Average yield (tons per acre),v47232,9.2,11.00
1946,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.70
1947,Nova Scotia,Average yield (tons per acre),v47232,9.2,10.05
1948,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.05
1949,Nova Scotia,Average yield (tons per acre),v47232,9.2,13.20
1950,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1951,Nova Scotia,Average yield (tons per acre),v47232,9.2,16.25
1952,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1953,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.20
1954,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1955,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.80
1956,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1957,Nova Scotia,Average yield (tons per acre),v47232,9.2,15.00
1958,Nova Scotia,Average yield (tons per acre),v47232,9.2,16.46
1959,Nova Scotia,Average yield (tons per acre),v47232,9.2,14.81
1960,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.00
1961,Nova Scotia,Average yield (tons per acre),v47232,9.2,12.17
